SMILES,predicted_proxy,novelty,MW
N#Cc1nc(-c2ccccc2)nc(S(=O)(=O)O)n1,0.2861,0.7568,262.25
N#Cc1cc(-c2ccccc2)cc(-c2ccccc2)c1,0.2846,0.5500,255.32
N#Cc1cc(OP(=O)(O)O)cc(P(=O)(O)O)c1,0.2840,0.7143,279.08
Oc1ccc2ccccc2c1,0.2833,0.5000,144.17
CCOP(=O)(OCC)c1cc(OP(=O)(O)O)cc(-c2ccccc2)c1,0.2816,0.4872,386.28
CCOP(=O)(OCC)c1cc(-c2ccccc2)cc(P(=O)(O)O)c1,0.2815,0.4286,370.28
CCOP(=O)(OCC)c1cc(C#N)cc(-c2ccccc2)c1,0.2813,0.4737,315.31
CCOP(=O)(OCC)c1ccc2ccccc2c1,0.2811,0.3871,264.26
Oc1cc(O)cc(-c2ccccc2)c1,0.2811,0.4706,186.21
N#Cc1nc(OP(=O)(O)O)nc(OP(=O)(O)O)n1,0.2810,0.7714,298.04
N#Cc1cc(P(=O)(O)O)cc(P(=O)(O)O)c1,0.2807,0.6296,263.08
CCOP(=O)(OCC)c1nc(N)nc(-c2ccccc2)n1,0.2803,0.5263,308.28
CCOP(=O)(OCC)c1cc(O)cc(-c2ccccc2)c1,0.2799,0.4286,306.30
Oc1ccc(Oc2ccccc2)cc1,0.2790,0.3333,186.21
N#Cc1nc(OP(=O)(O)O)nc(P(=O)(O)O)n1,0.2790,0.8000,282.05
O=C(O)c1nc(-c2ccccc2)nc(-c2ccccc2)n1,0.2782,0.5600,277.28
Oc1ccc(-c2ccccc2)cc1,0.2781,0.4000,170.21
N#Cc1nc(OP(=O)(O)O)nc(S(=O)(=O)O)n1,0.2779,0.8140,282.13
CCOP(=O)(OCC)c1cc(-c2ccccc2)cc(S(=O)(=O)O)c1,0.2771,0.4872,370.36
N#Cc1nc(P(=O)(O)O)nc(P(=O)(O)O)n1,0.2768,0.7667,266.05
Oc1ccccc1-c1ccccc1,0.2760,0.5294,170.21
N#Cc1nc(P(=O)(O)O)nc(S(=O)(=O)O)n1,0.2754,0.8158,266.13
CCOP(=O)(OCC)c1cc(C)cc(-c2ccccc2)c1,0.2753,0.4118,304.33
Cc1nc(-c2ccccc2)nc(S(=O)(=O)O)n1,0.2746,0.7333,251.27
Cc1nc(-c2ccccc2)nc(-c2ccccc2)n1,0.2741,0.6000,247.30
O=S(=O)(O)c1ccccc1S(=O)(=O)O,0.2741,0.6190,238.24
N#Cc1cc(OP(=O)(O)O)cc(OP(=O)(O)O)c1,0.2740,0.6875,295.08
CCOP(=O)(OCC)c1nc(OP(=O)(O)O)nc(-c2ccccc2)n1,0.2740,0.5814,389.24
CCOP(=O)(OCC)c1nc(C#N)nc(-c2ccccc2)n1,0.2739,0.5714,318.27
CCOP(=O)(OCC)c1nc(-c2ccccc2)nc(P(=O)(O)O)n1,0.2738,0.5385,373.24
CCOP(=O)(OCC)c1nc(O)nc(-c2ccccc2)n1,0.2738,0.5385,309.26
N#Cc1ccc(P(=O)(O)O)cc1,0.2735,0.5200,183.10
N#Cc1cc(P(=O)(O)O)cc(S(=O)(=O)O)c1,0.2733,0.7143,263.17
N#Cc1cc(O)cc(P(=O)(O)O)c1,0.2732,0.6774,199.10
N#Cc1cc(N)cc(P(=O)(O)O)c1,0.2730,0.6875,198.12
Cc1nc(OP(=O)(O)O)nc(OP(=O)(O)O)n1,0.2729,0.7308,287.06
N#Cc1ccccc1P(=O)(O)O,0.2723,0.6071,183.10
N#Cc1nc(O)nc(OP(=O)(O)O)n1,0.2721,0.7895,218.07
N#Cc1ccc(S(=O)(=O)c2ccccc2)cc1,0.2720,0.3913,243.29
CCOP(=O)(OCC)c1nc(-c2ccccc2)nc(S(=O)(=O)O)n1,0.2718,0.5814,373.33
N#Cc1ccccc1OP(=O)(O)O,0.2715,0.6364,199.10
N#Cc1nc(O)nc(P(=O)(O)O)n1,0.2714,0.7879,202.07
Cc1nc(OP(=O)(O)O)nc(P(=O)(O)O)n1,0.2711,0.7742,271.06
N#Cc1nc(N)nc(P(=O)(O)O)n1,0.2708,0.7407,201.08
Cc1cc(OP(=O)(O)O)cc(P(=O)(O)O)c1,0.2706,0.6875,268.10
Cc1nc(OP(=O)(O)O)nc(S(=O)(=O)O)n1,0.2705,0.7941,271.15
c1ccc(-c2ccccc2)cc1,0.2696,0.0000,154.21
N#Cc1nc(N)nc(OP(=O)(O)O)n1,0.2690,0.7667,217.08
CCOP(=O)(OCC)c1nc(C)nc(-c2ccccc2)n1,0.2687,0.5263,307.29
N#Cc1nc(N)nc(-c2ccccc2)n1,0.2683,0.6875,197.20
N#Cc1nc(O)nc(-c2ccccc2)n1,0.2677,0.7037,198.19
Cc1nc(P(=O)(O)O)nc(P(=O)(O)O)n1,0.2670,0.7000,255.06
Cc1nc(P(=O)(O)O)nc(S(=O)(=O)O)n1,0.2661,0.7778,255.15
Cc1cc(P(=O)(O)O)cc(P(=O)(O)O)c1,0.2651,0.5833,252.10
N#Cc1cc(OP(=O)(O)O)cc(S(=O)(=O)O)c1,0.2648,0.7561,279.17
Cc1cc(N)cc(P(=O)(O)O)c1,0.2647,0.6552,187.13
N#Cc1cc(-c2ccccc2)cc(S(=O)(=O)O)c1,0.2646,0.7000,259.29
Cc1nc(O)nc(P(=O)(O)O)n1,0.2645,0.7500,191.08
Cc1nc(N)nc(P(=O)(O)O)n1,0.2643,0.7083,190.10
O=C(O)c1cc(-c2ccccc2)cc(-c2ccccc2)c1,0.2641,0.4545,274.32
Cc1nc(O)nc(OP(=O)(O)O)n1,0.2639,0.7667,207.08
O=C(O)c1cc(OP(=O)(O)O)cc(P(=O)(O)O)c1,0.2635,0.6667,298.08
O=S(=O)(O)c1ccc(S(=O)(=O)O)cc1,0.2633,0.6500,238.24
N#Cc1cc(C#N)cc(P(=O)(O)O)c1,0.2630,0.6296,208.11
